"","date","Close"
"1","2011-12-31",4.502
"2","2012-01-01",4.92
"3","2012-01-02",5
"4","2012-01-03",5.188
"5","2012-01-04",5.40222222222222
"6","2012-01-05",6.34421052631579
"7","2012-01-06",6.445
"8","2012-01-07",6.8
"9","2012-01-08",6.93333333333333
"10","2012-01-09",6.57257142857143
"11","2012-01-10",6.603
"12","2012-01-11",7.11836734693878
"13","2012-01-12",7.02307692307692
"14","2012-01-13",6.8925
"15","2012-01-14",6.3
"16","2012-01-15",7.15
"17","2012-01-16",6.71428571428571
"18","2012-01-17",6.08595238095238
"19","2012-01-18",6.47777777777778
"20","2012-01-19",6.22571428571429
"21","2012-01-20",6.835
"22","2012-01-21",6.386
"23","2012-01-22",6.485
"24","2012-01-23",6.41615384615385
"25","2012-01-24",6.49411764705882
"26","2012-01-25",6.28194444444444
"27","2012-01-26",6.04388888888889
"28","2012-01-27",5.67851851851852
"29","2012-01-28",5.89333333333333
"30","2012-01-29",5.4
"31","2012-01-30",5.56222222222222
"32","2012-01-31",5.617
"33","2012-02-01",5.82545454545455
"34","2012-02-02",6.19396825396825
"35","2012-02-03",6.2
"36","2012-02-04",5.9948
"37","2012-02-05",5.77538461538462
"38","2012-02-06",5.52625
"39","2012-02-07",5.672
"40","2012-02-08",5.74333333333333
"41","2012-02-09",5.795625
"42","2012-02-10",5.87666666666667
"43","2012-02-11",5.605
"44","2012-02-12",5.57625
"45","2012-02-13",5.5025
"46","2012-02-14",5.19321428571429
"47","2012-02-15",4.75793103448276
"48","2012-02-16",4.6492
"49","2012-02-17",4.63780487804878
"50","2012-02-18",4.345
"51","2012-02-19",4.355
"52","2012-02-20",4.55709677419355
"53","2012-02-21",4.47866666666667
"54","2012-02-22",4.59045454545455
"55","2012-02-23",5.03
"56","2012-02-24",5.14555555555556
"57","2012-02-25",5.03857142857143
"58","2012-02-26",4.95625
"59","2012-02-27",5.0537037037037
"60","2012-02-28",4.98518518518518
"61","2012-02-29",4.96130434782609
"62","2012-03-01",4.93857142857143
"63","2012-03-02",4.805
"64","2012-03-03",4.662
"65","2012-03-04",4.84
"66","2012-03-05",4.95589743589744
"67","2012-03-06",4.99619047619048
"68","2012-03-07",5.04625
"69","2012-03-08",4.98352941176471
"70","2012-03-09",5.01545454545455
"71","2012-03-10",4.916
"72","2012-03-11",4.92
"73","2012-03-12",4.959
"74","2012-03-13",5.0725
"75","2012-03-14",5.37148148148148
"76","2012-03-15",5.342
"77","2012-03-16",5.34076923076923
"78","2012-03-17",5.40222222222222
"79","2012-03-18",5.32
"80","2012-03-19",5.09259259259259
"81","2012-03-20",4.91409090909091
"82","2012-03-21",4.87857142857143
"83","2012-03-22",4.8855
"84","2012-03-23",4.74875
"85","2012-03-24",4.73142857142857
"86","2012-03-25",4.63285714285714
"87","2012-03-26",4.62285714285714
"88","2012-03-27",4.78921568627451
"89","2012-03-28",4.899375
"90","2012-03-29",4.82071428571429
"91","2012-03-30",4.83857142857143
"92","2012-03-31",4.90916666666667
"93","2012-04-01",4.81647058823529
"94","2012-04-02",4.93511111111111
"95","2012-04-03",4.96357142857143
"96","2012-04-04",4.93619047619048
"97","2012-04-05",4.9305
"98","2012-04-06",4.93952380952381
"99","2012-04-07",4.80076923076923
"100","2012-04-08",4.76461538461538
"101","2012-04-09",4.79909090909091
"102","2012-04-10",4.825
"103","2012-04-11",4.8425
"104","2012-04-12",4.88173913043478
"105","2012-04-13",4.91446428571429
"106","2012-04-14",4.97235294117647
"107","2012-04-15",4.956
"108","2012-04-16",4.962
"109","2012-04-17",5.01137931034483
"110","2012-04-18",5.12233333333333
"111","2012-04-19",5.12838709677419
"112","2012-04-20",5.19941176470588
"113","2012-04-21",5.27142857142857
"114","2012-04-22",5.20846153846154
"115","2012-04-23",5.14787878787879
"116","2012-04-24",5.09183333333333
"117","2012-04-25",5.04295454545455
"118","2012-04-26",5.0296875
"119","2012-04-27",5.02684210526316
"120","2012-04-28",4.933
"121","2012-04-29",4.905
"122","2012-04-30",4.94121212121212
"123","2012-05-01",5.00242424242424
"124","2012-05-02",5.10235294117647
"125","2012-05-03",5.10485714285714
"126","2012-05-04",5.10478260869565
"127","2012-05-05",5.05631578947368
"128","2012-05-06",5.04333333333333
"129","2012-05-07",5.04828571428571
"130","2012-05-08",5.04142857142857
